product_name,overall_rating,rating,title,cleaned_review
"pexpo 1000ml, 18 Hrs Hot & Cold Thermosteel Vacuum Flask with Zipper Bag, Flip-Pro 1000 ml Flask Reviews",4.0,5,Awesome,pexpo thermosteel vacuum flask lightweight durable leak proof best daily use long journeys usually carry gym keeps water hot upto many hours budget friendly afford brands flasks compared brands find useful satisfied quality budget friendly everyone easily afford
"MILTON Thermosteel Glassy Drinking Cup Lid, 750 Ml, Purple 750 ml Flask Reviews",4.4,5,Best in the market!,best product price range
"MILTON Super 1000 Single Wall Stainless Steel Bottle, Set of 2, 1000 ml Each, Silver 1000 ml Bottle Reviews",3.9,5,Terrific purchase,good product good quality good price thanks
NERR ™ COPPER BOTTLE 1000ML 1000 Bottle Reviews,3.9,5,Perfect product!,vari nis dilavri vari good
MILTON elfin 750 ml Bottle Reviews,4.3,4,Value-for-money,good quality
Pigeon Inox Hydra Plus 900 ml Bottle Reviews,4.0,5,Perfect product!,thank
cello Puro Steel-X Royce 600 | PU Insulation | Leak Proof | Wide Mouth | 540 ml Bottle Reviews,4.1,4,Worth the money,mat finish color amazing insulation need improved
"MILTON Prime 1000 Pet Water Bottle, 1 Piece, 1 Litre, Grey 1000 ml Bottle Reviews",4.4,5,Perfect product!,used one day seems good bottle branded things assure us abt quality
Plus Shine Stainless Steel Fridge Water Bottle Set of 3. 3000 ml Flask Reviews,3.8,1,Don't waste your money,west ugly product bad smell bottle quality bad
"pexpo 12 Hrs Hot and Cold Water Bottle,Stainless Vacuum Insulated Cameo 160 ml Flask Reviews",4.1,5,Great product,bottle good
"SPEEDEX Thermosteel Flip Lid Flask,Hot&Cold Water Bottle for Office Indoor(Silver, 500 ML) 500 ml Flask Reviews",4.2,5,Highly recommended,first doubt seeing price using days found value money water stays warm hr enough bottle emptied hr
MILTON Glassy 1000 ml Flask Reviews,4.4,5,Perfect product!,keep compact carry pink color tough cup scored good ideal hot cold liquid
"pexpo Thermosteel Vacuum Flask, Hot and Cold Bottle Flip-Pro 1000 ml Flask Reviews",3.9,5,Brilliant,good
pexpo 1000ml 24 Hrs Hot and Cold Flask with Jute-bag Vacuum Insulated Flamingo 1000 ml Flask Reviews,4.1,5,Best in the market!,quality good colour also good keeps water cold long time worth money
MILTON New Crown 600 Thermosteel Hot or Cold Water Bottle 500 ml Flask Reviews,4.3,4,Really Nice,good product
NIRLON Summer Cool Single Wall Stainless Fridge Water 1000 ml Bottle Reviews,4.0,5,Excellent,fine quality
"BOROSIL Grip n Sip Stainless Steel Water Bottle, Single Wall, BPA Free 750 ml Bottle Reviews",4.0,4,Really Nice,classy reliable
"pexpo Sports and Hiking Stainless Steel Water Bottle, Chromo 750 ml Bottle Reviews",4.1,3,Good,good
MILTON Kool Hexone 900 Insulated Water 720 ml Bottle Reviews,4.1,4,Delightful,ok
"bottel Thermos Water Bottle, Double Wall, Vaccum Flask, Hot or Cold for 24 Hours 1000 ml Flask Reviews",4.3,5,Terrific,pleased product outperformed expectations quality functionality attention detail design evident keeps water cool ten hours
"pexpo 500ml Thermosteel Vacuum Flask, 18 Hrs Hot and Cold with Zipper Bag Flip-Pro 500 ml Flask Reviews",4.0,3,Fair,product ok ok good insulation quality
pexpo 1800ml 24 Hrs Hot and Cold Water Bottle with Jute-bag Vacuum Insulated Electro 1800 ml Flask Reviews,4.3,5,Super!,nice product
MILTON New Crown 400 Thermosteel Hot or Cold Water Bottle 350 ml Flask Reviews,4.3,5,Perfect product!,highly recommended
Prestige Thermopro 1000 ml Bottle Reviews,4.1,5,Excellent,love product thankuu flipkart
"MILTON Super 1000 Single Wall Stainless Steel Bottle, Set of 2, 1000 ml Each, Silver 1000 ml Bottle Reviews",3.9,5,Best in the market!,nice
"pexpo 24 Hrs Hot and Cold ISI Certified , Electro Vacuum insulated Water Bottle 500 ml Flask Reviews",4.3,3,Good,good product kudos ekart delivering time
Pigeon 16258 1000 ml Flask Reviews,4.3,5,Terrific,good quality
"pexpo Hot and Cold ISI Certified , Echo Delux Vacuum insulated Water Bottle 750 ml Flask Reviews",4.2,5,Terrific,nice
"MILTON Copper Drinking Water Tumbler with Lid, Set of 2, Copper (Lid Colour May Vary) 480 ml Bottle Reviews",4.2,5,Classy product,nice n good quality
cello Lifestyle Stainless Steel Insulated 500 ml Flask Reviews,4.2,5,Best product,worth price good one buy
"cello Puro Steel-X Neo 900 Insulated Inner Steel Outer Plastic Water Bottle, 720 ml Bottle Reviews",4.0,2,Could be way better,please buy water bottle think fake copy cello starts smelling bad also words written vanishing
cello H2O 1000 Glass Fridge Water Bottle with Plastic Cap | Light weight | Leak proof 920 ml Bottle Reviews,4.5,4,Very Good,nice glass bottle slightly costly must buy
"pexpo 24 Hrs Hot and Cold ISI Certified , Bravo Vacuum insulated Water Bottle 700 ml Flask Reviews",4.2,5,Terrific,good product
BAWALIYANZED et of 3 Water Bottle with Motivational Time Marker 3000 ml Bottle Reviews,3.5,5,Classy product,satisfied product quality color
"cello H2O,1 Litre, Colour Assorted 1000 ml Bottle Reviews",4.5,5,Awesome,good
The Better Home 500 Insulated Water Bottle 500ml | Stainless Steel Insualted Flask | Leak Proof 500 ml Bottle Reviews,4.3,5,Terrific purchase,fantastic bottle keeps warm water temperature fr hours really wondered use several bottles best amongst love
MILTON Flip Lid (Chrome) 1000 ml Flask Reviews,4.3,5,Classy product,good
"MILTON Prime 1000 Pet Water Bottle, 1 Piece, 1 Litre, Grey 1000 ml Bottle Reviews",4.4,5,Mind-blowing purchase,awesome
DGENTERPRISE HE2307 4500 ml Bottle Reviews,3.8,4,Very Good,one best purchases ever made
MILTON VERTEX 1000 ml Flask Reviews,4.4,5,Terrific,excellent
"pexpo Sports and Hiking Stainless Steel Water Bottle, Chromo 750 ml Bottle Reviews",4.1,5,Just wow!,nice product
Flipkart SmartBuy Cola Flask 1000 ml Bottle Reviews,4.3,5,Must buy!,really good far
"pexpo 1000 ml Fridge and Refrigerator Stainless Steel Water Bottle, Chromo 1000 ml Bottle Reviews",4.1,3,Does the job,bad quality
"pexpo 12 Hrs Hot and Cold Water Bottle,Stainless Vacuum Insulated Cameo 160 ml Flask Reviews",4.1,5,Just wow!,amazing exactly wanted looks casual feel great
"pexpo 24 Hrs Hot & Cold ISI Certified, Oslo Vacuum insulated Water Bottle 1000 ml Flask Reviews",4.3,5,Just wow!,overall good
MILTON duodlx 750 ml Flask Reviews,4.4,5,Classy product,good quality product
PUMA TR bottle core 800 ml Bottle Reviews,4.2,2,Not good,like
BELLERBIRD Premium Quality Unbreakable Material Round Shape H2o Water Bottle For Fridge 999 ml Bottle Reviews,4.1,5,Terrific purchase,fantastic bottles
"Flipkart SmartBuy Antic Bottle Fridge, for Home Office Gym School Boy, Pack of 6 (Pink) 1000 ml Bottle Reviews",4.3,5,Terrific purchase,superd
BELLERBIRD Premium Quality Square Shape water bottle set of fridge 1000 ml Bottle Reviews,4.1,4,Wonderful,superb
"MILTON Charmy 450 Looney Tunes Thermosteel Kids Water Bottle, Pink 400 ml Bottle Reviews",4.1,1,Worst experience ever!,product even keeping water hot hour product given similar plain water bottle zero thermal capacity water milk become cool within minutes
"BOROSIL 1.5 L Vacuum Insulated Teapot, 18 Hrs Hot & 24 Hrs Cold Carafe, BPA Free, Black 1500 ml Flask Reviews",4.1,5,Awesome,excellent
Flipkart SmartBuy Designer Mosaic Water Bottle - 1000ml - PET Reviews,4.3,5,Brilliant,nice design super
"MILTON Kool Stunner 900 Insulated School Kids Bottle with Inner Steel, 660 ml Bottle Reviews",4.2,5,Highly recommended,good
"MILTON Stream 1000 Stainless Steel Water Bottle, 1030 ml, Red 1030 ml Bottle Reviews",4.1,5,Highly recommended,really good prize cold
cello Swift Stainless Vacuum Insulated|Wide Mouth And Convinient Portability 1000 ml Flask Reviews,4.4,4,Good choice,product genuine nicely packed beverages put flask remain hot cold hours
"pexpo Thermosteel Vacuum Flask, 18 Hrs Hot and Cold with Zipper Bag Flip-Pro 750 ml Flask Reviews",4.0,5,Simply awesome,mindblowing purchase
NIRLON Summer Cool Single Wall Stainless Fridge Water 1000 ml Bottle Reviews,4.0,3,Just okay,expect price range
"pexpo 12 Hrs Hot and Cold Water Bottle,Stainless Vacuum Insulated Cameo 500 ml Flask Reviews",4.1,3,Just okay,good product
"BOROSIL Bolt Trans Red Vacuum Insulated 1 L Water Bottle, 24 Hours Hot and Cold Flask 1000 ml Bottle Reviews",4.3,5,Great product,quality better cello
MILTON Elfin-300 Thermosteel Hot & Cold 300 ml Bottle Reviews,4.3,4,Delightful,good
MILTON VERTEX 500 500 ml Flask Reviews,4.4,5,Super!,beautiful n easy carry
prayati Unbreakable Water Bottle 1 L with Motivational Time Marker 1000 ml Bottle Reviews,3.9,3,Does the job,nice product amazing design call air tight u fill bottle shake u see leakage bottles
"pexpo 500ml Thermosteel Vacuum Flask, 18 Hrs Hot and Cold with Zipper Bag Flip-Pro 500 ml Flask Reviews",4.0,5,Simply awesome,standing clam hours test amazing results hours water hot
"pexpo Hot and Cold ISI Certified , Echo Delux Vacuum insulated Water Bottle 750 ml Flask Reviews",4.2,5,Great product,excellent bottle want keep water temperature longer duration mom put hot water night still warm water night could sustain temperatures hours water still hot enough could drink directly needed mix regular water works really well got could get hot water drink anytime without needing go heat water still checked cold water w read
pexpo 1500ml Vacuum Insulated Water Bottle with Jute-bag 24 Hrs Hot and Cold Fererro 1500 ml Flask Reviews,4.3,5,Awesome,great product happy
MILTON Viva tuff 1000 ml Flask Reviews,4.1,5,Best in the market!,awesome products thank much flipkart team totally value money
MILTON Bliss 600 Thermosteel Hot and Cold water 500 ml Flask Reviews,4.4,5,Super!,nice
"pexpo Stainless Steel Vacuum Insulated Cosmo Carafe, Hot and Cold Tea/Coffee 600 ml Flask Reviews",3.8,2,Slightly disappointed,less hours water got normal temperature
Usha Shriram Pure Water |Eco-Friendly|Non-Toxic|For Kids & Adults|Leak-Proof 950 ml Bottle Reviews,4.0,3,Nice,good
MILTON Duo DLX 1800 Thermosteel Hot and Cold water 1.8 L Flask Reviews,4.4,5,Fabulous!,osm
MILTON Glassy 1000 ml Flask Reviews,4.4,5,Worth every penny,must buy
"MILTON Duo DLX 500 Thermosteel 24 Hours Hot and Cold Water Bottle, Blue 500 ml Flask Reviews",4.4,5,Just wow!,quality design good could keep water hot long time period keeps water hot hours hours atleast hours
"pexpo 24 Hrs Hot & Cold ISI Certified, Oslo Vacuum insulated Water Bottle 1000 ml Flask Reviews",4.3,5,Excellent,nice purchase
"pexpo Hot and Cold ISI Certified , Echo Delux Vacuum insulated Water Bottle 750 ml Flask Reviews",4.2,5,Simply awesome,good product worth every penny
cello Lifestyle 500 ml Flask Reviews,4.2,2,Don't go just for the brand name.,reason bought product name good experience past cello products thermos upto mark use store warm water water turns luke warm within hours basic purpose thermos thus failng
"pexpo 24 Hrs Hot and Cold ISI Certified , Electro Vacuum insulated Water Bottle 1000 ml Flask Reviews",4.3,4,Wonderful,nice product
cello Puro Steel-X Royce 600 | PU Insulation | Leak Proof | Wide Mouth | 540 ml Bottle Reviews,4.1,1,Don't waste your money,water insulated quality cap poor
"ROSTY Food Grade Fridge Square Bottle 1000 ml Bottle (Pack of 6, Multicolor, Plastic) 1000 ml Bottle Reviews",4.0,3,Fair,helpful value money
"AneriDEALS Crystal Clear Water for Fridge, Home, Office Gym School Boy, Unbreakable 1000 ml Bottle Reviews",4.0,5,Simply awesome,super
"pexpo Hot and Cold ISI Certified , Echo Delux Vacuum insulated Water Bottle 750 ml Flask Reviews",4.2,5,Perfect product!,cold hot trusted
"pexpo 1000 ml Fridge and Refrigerator Stainless Steel Water Bottle, Chromo 1000 ml Bottle Reviews",4.1,5,Highly recommended,good quality bottle looks beautiful made stainless steel good health also long lasting easy clean looks nice
"pexpo Thermosteel Vacuum , 18 Hrs Hot and Cold with Zipper Bag Flip-Pro 1000 ml Flask Reviews",4.0,5,Awesome,mind blowing quality appears eighteen hour hot cold keeps eighteen hour really fully awesome flask segment using heavy summer water cold since morning night bottle
MILTON Thermosteel Duo 1500 ml Flask Reviews,4.4,5,Brilliant,superb quality
"pexpo Cameo Hot and Cold Water Bottle, Stainless Vacuum Insulated 160 ml Flask Reviews",4.1,5,Perfect product!,good item delivered time
MILTON Elate 1000 880 ML Bottle Reviews,3.8,5,Highly recommended,nice product
Apeiron Fridge bottle pack of 2 1000 ml Bottle Reviews,3.8,5,Fabulous!,good
Flipkart SmartBuy Premium Quality Oval Round Shape water bottle set of fridge 1020 ml Bottle Reviews,4.2,5,Awesome,good product
"pexpo Insulated Warm And Cold School Kids Water Bottle, Stereo 700 ml Bottle Reviews",3.8,5,Awesome,wonderful product nice product budget quality average size nice looks nice thank
pexpo 1500ml 24 Hrs Hot and Cold Water Bottle with Jute-bag Vacuum Insulated Electro 1500 ml Flask Reviews,4.3,5,Worth every penny,bottle good received fast checked hot condition nice
MILTON Copper Charge 1000 930 ml Bottle Reviews,4.0,5,Simply awesome,good
MILTON 3.5 L Beverages Dispenser 3500 ml Flask Reviews,4.1,5,Terrific,good product issue suction pipe even water level touching bottom flask much effective top trustworthy brand milton
cello Puro -X Benz 900 | PU Insulation | Leak Proof| Wide Mouth & Easy to Open | 730 ml Bottle Reviews,4.0,5,Simply awesome,good bottle buy
"pexpo 1000 ml Sports and Hiking Stainless Steel Water Bottle, Bistro 1000 ml Bottle Reviews",4.1,5,Wonderful,good
"pexpo 24 Hrs Hot and Cold ISI Certified , Electro Vacuum insulated Water Bottle 500 ml Flask Reviews",4.3,5,Must buy!,valuable love
MILTON Super 750 650 ml Bottle Reviews,3.8,5,Super!,good
"MILTON Aqua Stainless Steel Water Bottle, Pista Green 500 ml Bottle Reviews",4.0,5,Excellent,superb flipkart well delivery boy good thank u flipkart
MILTON optima 350 350 ml Flask Reviews,4.3,4,Pretty good,good
"Flipkart SmartBuy Antic Bottle Fridge, for Home Office Gym School Boy, Pack of 6 (Blue) 1000 ml Bottle Reviews",4.3,5,Classy product,great product
MILTON Kip - Sip 1000 Each 1000 ml Bottle Reviews,4.4,5,Highly recommended,nice product
SeaRegal 2 L Capacity Water Bottle Belt Straw Transparent bottle 2000 ml Bottle Reviews,4.3,4,Wonderful,overall value money nice product
pexpo 1000ml Vacuum Insulated Water Bottle with Jute-bag 24 Hrs Hot and Cold Fererro 1000 ml Flask Reviews,4.3,4,Nice product,value mon
"pexpo 1000 ml Sports and Hiking Stainless Steel Water Bottle, Monaco - Xtreme 1000 ml Bottle Reviews",4.0,5,Simply awesome,good
MILTON Elate 1000 880 ML Bottle Reviews,3.8,5,Classy product,product awesome
cello Lifestyle Stainless Steel Insulated 500 ml Flask Reviews,4.2,4,Delightful,cool go
LA'FORTE Original Heavy Gauge Copper Bottle With Shaker Lid 750 ml Bottle Reviews,4.1,5,Awesome,nice product satisfied
"MILTON Duo DLX 500 Thermosteel 24 Hours Hot and Cold Water Bottle, Blue 500 ml Flask Reviews",4.4,5,Must buy!,excellent value money
SPEEDEX Water for fridge School Gym Yoga Home office Boys Girls 1000 ml Bottle Reviews,4.0,5,Perfect product!,perfect piece
MILTON Thermosteel Elfin 160 ml Bottle Reviews,4.2,5,Mind-blowing purchase,nice water bottle
cello Puro Steel-X Royce 900 | PU Insulation | Leak Proof | Wide Mouth | 730 ml Bottle Reviews,4.1,5,Fabulous!,nice product
"MILTON Hector 1000 Pet Water Bottle, Set of 2, 1 Litre Each, Blue 1000 ml Bottle Reviews",4.4,5,Simply awesome,nice
MILTON Elate 1000 880 ML Bottle Reviews,3.8,5,Super!,good
"pexpo Hot and Cold ISI Certified , Echo Delux Vacuum insulated Water Bottle 750 ml Flask Reviews",4.2,5,Awesome,awesome product
"pexpo Hot and Cold ISI Certified , Echo Delux Vacuum insulated Water Bottle 750 ml Flask Reviews",4.2,5,Great product,excellent bottle want keep water temperature longer duration mom put hot water night still warm water night could sustain temperatures hours water still hot enough could drink directly needed mix regular water works really well got could get hot water drink anytime without needing go heat water still checked cold water w read
"pexpo Thermosteel Water bottle, Hot and Cold with Jute-bag Vacuum Insulated Flamingo 1000 ml Flask Reviews",4.1,5,Highly recommended,super
SPEEDEX Stainless Steel Water Bottle for Kids fridge School Gym Home office Boys Girls 1000 ml Bottle Reviews,4.0,5,Worth every penny,altogether good
"MILTON Super 750 Stainless Steel Water Bottle, Black 650 ml Bottle Reviews",3.9,5,Must buy!,nice bottle
"BOROSIL Hydra Thermo Vacuum Insulated Water Bottle with Bag, 24 hrs Hot and Cold 1000 ml Flask Reviews",4.3,1,Horrible,bad quality
cello Puro Steel-X Royce 600 | PU Insulation | Leak Proof | Wide Mouth | 540 ml Bottle Reviews,4.1,5,Worth every penny,wow love shown picture colour also ordered water bottle ca stay hot long time
